x   y   ey
0.0001 0.9987784 0.000716712
0.0005 0.9791214 0.011735165
0.001 0.973737 0.015060348
0.002 0.9470279 0.029305928
0.005 0.9461027 0.026558291
0.01 0.9423603 0.058027111
0.025 0.9156534 0.075945249
0.05 0.7417221 0.139547346
0.1 0.8124452 0.174333653
0.2 0.8363111 0.203295067
0.5 0.9999997 4.83046E-07
1 1 0
