x   y   ey
0.0001 0.9996096 0.000212247
0.0005 0.9937811 0.005495843
0.001 0.9910103 0.006010621
0.002 0.9874501 0.007189552
0.005 0.9843102 0.010706209
0.01 0.9650778 0.014301989
0.025 0.9650959 0.02189109
0.05 0.9530514 0.0246458
0.1 0.9286759 0.035289943
0.2 0.8752611 0.07032196
0.5 0.9999989 8.75595E-07
1 1 0
